,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Canada,696,39624,6351,472,3625,1128114,16202,16089,100,0,3186,6381,11430,143,4312,3325,74801,0,42661,0,6690,3751,14959,1732,689,2612,12,4813,66237,376345,1771,16015,9192,6978,11931,6175,131,1482,782,133,152,78,5390,2560,1954,104,4,6482,47190,3763,20825,0,2478,104577,410,2621,9986,6213,605,174,3,11,219,392,8,129,83,0,11416,222,2226994,400,423,7376,0,0,64,7904,2867,7757,150,85,3740,3338,5588,2911,135,417,966,1127,554,2462,299,21,17799,0,5080,11688,665,7049,0,15,145279,80,10964,0,4,146,129285,388,39643,98,494,67,2265,4463,165,4258,2556,60,979,2326,1053,7185,3973,381,13509,1094,11187,863,385,128,131,366,706,6641,69,24223,130,180,597,904,0,221,1305,1438,22,216,681,74,1640,170,0,35,1252,12,1722,3481,68,4103,373,2443,111,0,290,14047,2907,9821,547,2234,4070,4418,414,249,0,409,1319,2490,0,612,59,0,1006,76,1264,3,0,169,3818,40,1132,0,0,6061,24,0,329,19617,184,112,4268,0,0,50967,0,1411,6,154,86,400,0,7044,2,0,1124,8,1190,0,256,0,8631,0,6,54,41,4,6235,6178,0,0
Kazakhstan,0,107,2877,0,21,2446,33,9658,0,0,81,70,12835,0,104,61830,6197,0,86,0,0,25,1205,839,4,3,0,4873,3031,22,0,13,427,0,0,15716,0,112,267,0,0,0,8,38,0,6695,0,23,1342,274,1402,0,204,3616,0,0,2250,0,98,0,0,0,0,0,0,0,0,12,11,291,625,415416,10,6,0,0,0,909,4,11,0,0,181,849,0,2349,0,0,0,7,0,134,0,1485,0,0,0,29,0,0,0,0,7,604,236,0,0,0,8,77,0,4455,12,0,19,0,0,0,0,0,0,0,81,484,57,0,5270,0,0,316,219,0,0,0,0,100,0,149,5,0,306,0,0,490,0,1789,0,0,0,21,966,2816,0,0,20,0,0,1476,0,3,62,0,0,0,117,5024,3033,3,0,0,0,0,0,90,0,225,133,15,0,32,2362,0,0,0,265,0,0,924,0,2443,0,0,0,0,0,0,34,898,651,63,0,0,0,0,0,30,0,0,117,26,0,210,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,2838,128,0,0,734,67,1164,0,0,227,32,375,0,2718,536,76196,0,552,0,0,65,533,11,0,16,6,46,1870,33,3,4,1303,297,10,95,0,52,3,4,0,0,0,253,0,2,0,38,4048,253,10521,0,82,8316,0,0,3222,0,24,0,0,0,0,0,0,0,0,0,468,0,339,10,402388,0,0,0,4,394,84,0,0,0,395,306,0,17417,523,0,3,0,0,18,0,4,0,0,7,53,0,0,4,2,0,29,61,0,0,261,4,98,0,0,0,0,2842,0,2,0,0,10,216,0,4,70,11,5,72654,4,0,14,4,0,0,4,0,44,2,9518,0,0,0,0,0,0,0,163,0,0,0,0,138,0,6,0,0,173,8,125,0,425,0,0,0,0,19,9624,49,5245,0,0,0,0,0,79,0,5,484,0,0,0,0,0,5,0,44,0,0,0,0,0,0,0,0,0,0,0,54,6340,0,0,0,0,0,7,0,17,0,0,8,15,0,25567,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Peru,0,2068,33,0,0,71276,34066,3538,68,0,581,456,62,2173,73,265,2232,0,93,0,694,3,24555,0,0,5,0,14,3155,31609,0,34287,1828,0,5794,348,0,0,2,0,0,0,22949,352,6,4,0,5,3616,2125,3725,0,129,114,1672,98,10037,420,8,0,0,0,0,0,0,0,0,0,159,0,10900,12,0,1047542,0,0,4,1633,10,60147,0,0,943,533,0,70,7,11018,10,3,0,87,0,0,192,0,10034,2,2108,342,0,0,2399,0,430,0,0,0,4416,9,4388,0,0,0,0,12,55,18,0,0,0,154,28,513,4,0,104,4,3,0,0,0,0,0,6,229,0,28,0,0,26,0,0,0,0,136,0,0,3,8,91,0,0,0,10,0,0,167,0,6,0,19,0,0,0,1513,54,102,0,0,177,8,0,0,0,9,12,0,0,0,0,0,15,0,213,0,0,0,0,0,0,0,0,52,0,0,12,676,6,0,438,0,0,815,0,5,0,0,0,56,0,101,0,0,6,0,0,0,0,0,124,0,0,0,0,0,6,48,0,0
Syria,0,0,0,0,0,0,0,0,0,0,1,0,2991,0,0,598,14,0,0,0,0,0,0,1349,0,0,0,3,1,0,0,0,0,10,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,5,0,0,15022,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,430,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,88,53,0,0,244,868,561,0,0,58,12456,933,5,127,93,2199,0,82,0,0,108,163,0,13,923,0,422,745,4,56,4,104,19,0,533,65,9,19,0,0,0,10,57,0,0,0,2,245,112,79,0,31,1506,4,0,410,0,10,22,0,0,2,0,0,0,0,0,0,0,49,15,3,2,0,0,57141,111,615,10,0,268,160,37,0,36,0,0,0,401,0,28,0,0,0,0,0,641,2,0,0,0,2,6,3594,0,0,0,5,5,0,0,11,125,2,0,272,0,0,12,9,0,36,19,82,405,171,0,0,3,0,0,2,0,0,32,124,85,0,0,19,0,0,0,0,33,0,0,50,0,12,0,0,3,0,0,3,2,0,191,0,0,0,0,2,71,51,14,0,0,0,0,0,0,0,0,229,22,0,5,0,0,127,0,16,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,5,31,0,0,0,0,56,0,0,168,2,0,0,0,12,3,0,0,0,0,0,0,0,0,0
Netherlands,1,9789,7989,62,319,103504,10157,69619,13085,0,24187,16240,19235,72,12543,20376,12610,3,4516,0,797,1739,191903,1365,314,959,8,3442,297785,4887,3897,3032,54492,1632,1020,43776,586,2491,210,104,102,21,1895,22335,4249,94,2,29077,50157,19516,9165,2,17745,12495,52,38,106645,35,1514,101,0,159,84,8,0,4,158,0,3301,2388,9567,975,430,1726,0,0,82,9,1909,1204,52,470,1271,65090,39,3807,61,116,37,1532,47,13077,113,44,24,0,867,2120,198,7130,0,0,765,77,49537,0,0,4,675,670,2639,494,20,15,329,21,153,43,19,74,582,99,5679,21525,2169,132,14629,114,153,743,152,3088,53,45,264,39091,38,3296,0,1608,9731,5008,4,1128,0,19071,14,59,1455,1563,17703,1966,0,321,3374,65,333,42167,25,389,353,15,0,0,1764,2974,6617,4853,76,55,16933,19,3,216,0,3295,1492,1434,0,1532,11,20,1255,13,12480,0,22,624,8,173,0,0,0,11,4,0,5064,5639,5496,173,173,0,0,85,0,1680,0,38,2027,1675,0,7644,0,0,535,0,34,0,1602,0,82,0,6,21,0,0,59,1762,0,0
Kenya,0,3356,1744,6165,25,8519,189,8873,0,0,1639,8234,10114,2,53,974,6070,0,134,0,0,2318,1337,32,287,6342,2,4255,17294,371,551,40,2313,153,37,1879,137,373,622,2380,41,0,36,1296,53,0,0,122,3134,3400,822,0,317,12164,3,0,17773,0,537,426,0,513,575,0,493,51,61,0,214,88,3512,7,52,23,0,0,758,3231,142896,2,219,110,2125,965,4,452,0,0,3,12858,52,126,63,0,21,0,4,852,0,15,0,0,167,10,196,0,0,0,220,698,19,34,2626,606,19,0,2047,4,6,1195,104,0,39,819,210,1663,879,395,12,965,49,5,3056,11,100,728,1241,98,6,4,58,0,0,53,0,136,0,76,6041,0,189,15,0,0,8,7,240,253,58,259,0,0,0,0,105,747,146,63,29,0,0,28,0,96,0,40,2528,192,0,12,0,480,12587,0,678,0,0,0,12,14,0,0,0,9,0,0,27,451,56,8,15,0,0,32,0,458,10,118,12,51,0,280,0,0,1040,22,0,0,4,0,11,0,0,2,0,0,0,3,0,0
Chile,889,7055,219,0,4,57046,86579,7337,16,0,1746,1100,532,2361,58,415,2534,0,311,0,429,0,19276,3,18,21,0,23,6805,22820,3,25683,2746,6,2026,449,74,14,0,0,0,0,57102,1384,26,0,3,78,7069,5327,2213,0,277,447,3907,18,4932,130,22,0,0,0,0,0,0,0,0,0,1681,3,8853,0,8,57217,0,0,30,1709,46,1474739,0,6,1239,567,3,100,0,7096,6,6,0,129,0,0,106,0,6526,44,11803,557,0,0,4441,0,1029,0,0,0,11112,4,1827,0,0,0,0,0,2,11,3,4,0,82,52,1030,32,5,1078,0,13,0,0,0,0,0,0,302,0,120,0,0,13,0,0,30,3,616,0,0,3,0,102,0,0,0,113,0,0,421,0,2,0,287,0,0,47,888,79,222,0,0,68,3,0,0,0,51,17,3,0,0,0,0,5,0,449,0,0,0,9,0,0,0,0,26,0,0,24,861,0,0,147,0,0,985,0,13,0,0,0,127,0,303,0,626,3,11,3,0,0,0,19,0,0,4,0,0,9,12,0,0
Congo,0,1,70,0,41,174,0,90,0,0,6,235,181,0,84,36,620,0,42,0,0,146,87,27,604,672,0,33,318,0,99,0,270,0,0,143,0,0,25,0,66,41,0,37,0,0,0,382,3634,44,2,0,11,405,0,0,668,0,3,0,0,28,0,0,0,37,1175,0,0,0,183,0,5,0,0,0,3,36,164,0,11252,29,26,74,0,205,0,0,0,25,23,67,0,0,0,0,0,5,0,0,0,0,0,0,42,0,0,0,0,0,5,0,524,0,0,0,30,0,0,0,0,0,0,45,212,30,80,1355,0,6,0,0,0,29,478,0,1,29,0,0,0,0,5,0,0,15,1072,0,608,0,0,0,0,0,27,0,498,5,8,0,0,0,0,0,0,5,31,8,1887,0,0,0,0,0,0,0,6,115,0,0,0,0,35,0,20,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,348,0,0,0,36,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Angola,0,23,42,0,0,1459,964,487,0,0,16,5256,2120,0,78,219,967,0,368,0,0,428,248,7,47,2980,0,20,2009,22,257,4,342,5,8,49,2451,6,19,0,0,0,0,11,0,0,0,179,1710,21,20,0,2,498,0,0,566,8,1,0,0,0,0,0,0,0,0,0,3,0,93,0,0,0,0,0,226,350,229,6,500,42184,142,36,0,97,0,0,0,45,0,115,16,0,0,0,0,42,0,0,0,0,604,0,19061,0,0,0,1,0,0,35,44,61,0,0,285,0,0,0,4,1,52,314,258,336,115,0,0,0,0,0,0,0,0,19,0,16,0,0,6,0,0,3,0,13,0,0,129,0,17,0,0,92,16,0,5,153,0,12,3,2,0,0,0,40,36,0,0,0,0,0,0,0,0,29,57,94,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0,8,0,0,0,8,0,112,0,0,4,0,0,0,0,377,0,0,0,0,0,0,0,19,0,0
Belgium,24,2285,9976,55,5401,33558,2681,34401,2,0,14246,3802,8129,45,1467,10259,7351,0,2492,0,292,330,164611,998,513,412,3,710,41747,4267,594,1293,35717,978,943,20709,272,1592,94,18,43,94,1039,7009,1700,23,2,45358,50076,11014,3876,0,14995,5353,90,14,107266,41,463,39,0,9,54,0,0,191,40,15,659,2274,3542,350,608,550,0,0,88,570,704,783,76,1891,0,15978,4,816,214,80,4,2022,632,27225,7,29,48,0,432,1051,135,22,0,0,2553,86,37056,0,0,0,5081,161,571,148,2490,51,589,1214,95,11,0,272,620,69,2237,10366,1658,57,13143,990,56,252,255,1620,240,272,74,19789,36,1969,14,1461,9057,0,1,961,0,14441,1,2188,2161,2241,15918,1694,0,2165,3108,0,2980,29467,697,122,1677,5,0,0,3364,711,3494,604,348,1,87,3,0,514,0,5163,800,6364,0,2642,4,0,834,0,12555,0,166,1257,651,133,0,0,0,0,20,0,6799,1259,3827,1501,88,0,0,209,0,312,0,528,3267,12,0,1435,0,0,595,0,0,0,1697,27,4,0,0,20,0,0,1,29,0,0
Austria,47,3742,5110,50,645,28301,2156,205625,2,0,20412,4492,8116,70,2193,31727,9017,0,3947,0,140,1548,72425,2082,160,313,3,1775,111722,2304,323,933,40245,1160,497,28768,353,373,73,39,25,0,958,14137,1747,382,0,5041,41668,14077,6369,1,21352,7308,55,4,54219,126,384,93,0,6,41,0,15,29,15,5,513,4844,5108,574,346,466,0,0,15,67302,860,680,12,92,16516,7645,35,1244,124,54,3,1311,22,16379,18,82,42,0,253,903,55,0,0,0,1965,95,17360,0,0,7,748,299,528,242,69,9,151,8,15,0,2,442,140,10,10609,19980,480,34,22524,103,215,560,223,84,8,20,77,9078,21,3695,0,870,9783,0,0,1243,0,1440,3,19,99,383,215,2550,0,80,1624,2,235,14395,8,450,2259,0,0,0,1708,3224,21474,4137,33,16,20,0,0,2562,0,4466,1137,1711,2,3913,565,0,264,0,8372,0,32,652,10,335,0,0,0,7,0,0,2417,2134,2710,1338,20,0,0,147,0,404,0,52,80,3371,0,1929,0,0,1847,0,0,0,2318,4,77,0,86,36,12,0,0,64,0,0
Antigua and Barbuda,0,0,0,0,0,16758,25,86,2,0,19,16,5,20,3,0,13,0,16,0,108,2,126,0,0,0,0,0,8056,37,0,18,50,0,36,0,0,0,0,0,0,0,19,0,0,0,0,0,168,20,6,0,0,5,17,272,763,0,0,0,0,0,0,0,0,0,0,0,0,0,5791,0,0,11,0,0,0,49,0,27,0,0,7,23,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,125,0,15,0,1,0,498,0,0,0,0,0,0,429,0,0,0,0,0,96,0,34,7,0,0,0,1248,0,0,0,0,0,0,116,0,0,0,0,0,6,0,0,126,0,0,0,0,0,0,0,0,0,14,0,0,21,0,0,0,0,0,0,0,3,0,0,0,144,19,28,985,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,11,0,0,0,0,61,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,2,643,0,0,0,2680,0,0,0,835,0,0,0,235,0,715,1034,0,0
Malaysia,0,70351,7553,113,115,11565,434,7111,19,0,1623,2127,13345,8,326597,2865,232454,0,36951,0,4,716,2350,4540,49,162,170,56133,23678,305,137,42,2380,10763,32,6332,43,2363,1044,116,4,32,157,721,261,1348,4,1094,5410,1332,70982,0,717,92188,0,0,3636,0,2730,8,0,0,4,0,1,0,185,0,3207,189,2076,2309,14611,53,9,0,62,3502,669,50,190,69,622,1190,0,1829717,2070,2,99,315,0,508,0,2,0,0,8,12553,11,0,254,0,57,201,503,0,0,12129,113,1732,68,296,11,64,25202,0,61,0,0,25,13363,0,88,20,779,37,137418,54,0,1683,5,12,0,21,6,1143,17,76779,3,36,269,0,0,78,0,762,28,19,8,0,1148,141,2,0,368,16704,49,851,19,29950,5,0,0,0,265,106535,550,50194,3,0,0,11,0,2231,0,184,4093,372,0,83,2,0,170,0,1423,0,0,74,20,75,0,0,0,0,9,0,40,52223,148,41,0,0,0,58,0,1823,0,11,6,60,0,240584,0,0,1738,0,0,0,151,0,8,0,6,92,0,0,4,5,0,0
Laos,0,952,0,0,0,625,2,225,0,0,41,26,40,0,881,116,36431,0,257,0,0,17,46,0,0,4,0,90,234,0,9,2,126,14,0,4,0,0,0,0,2,0,2,39,0,0,0,0,1479,37,2284,0,54,837,0,0,145,0,2,0,0,0,0,0,0,0,0,0,86,0,105,0,644,0,0,0,0,24,3,0,0,0,214,51,0,1891,53544,0,0,0,0,3,0,2,0,0,0,9,0,0,0,0,0,0,18,0,0,212,0,10,7,0,0,0,8316,0,0,0,0,0,3,0,2,10,13,0,32824,0,0,3,3,0,0,0,0,4,0,10687,0,0,0,0,0,0,0,24,0,0,0,0,14,0,3,0,0,52,0,39,0,11,0,0,0,0,0,22132,13,308,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,424,0,0,0,0,0,0,0,0,0,0,0,10,0,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,157,6,0,0,8374,11907,541,8,0,80,11,40,342,0,13,607,0,0,0,105,0,8730,0,0,6,0,16,603,1968,0,4591,234,0,864,7,0,0,2,0,0,0,7575,24,0,0,0,4,255,485,78,0,12,13,2344,13,704,183,3,0,0,0,0,0,0,0,0,0,57,0,446,0,0,10396,0,0,0,130,0,6610,0,0,107,48,0,5,0,339704,0,0,0,1,0,0,19,0,611,0,271,25,0,0,638,0,20,0,0,0,1490,0,217,0,0,0,0,0,0,0,0,0,2,49,0,22,3,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,62,0,6,0,0,7,1,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,71,0,0,0,0,2,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Fiji,0,37869,5,0,0,6228,4,100,0,1504,33,19,27,0,64,0,475,1654,108,0,0,0,10,0,0,0,313,0,798,0,0,3,60,18,0,0,0,10,0,0,0,0,6,11,0,0,989,0,55,5,1765,0,0,724,0,0,48,0,0,0,7,0,0,6,0,0,0,0,18977,2,929,0,4,4,0,0,0,43,2,11,0,0,7,49,0,44,0,0,30184,0,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,10,13,0,88,0,0,14,0,0,0,0,0,22,3,6,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,145,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,2063,0,0,0,0,0,759,431,0,0,0,0,2716,0,0,0,958,0,0,0,0,0,0,0,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,852,1797,67,6,1389,92,5566,0,0,2296,7157,3632,8,52,2807,3376,0,110,0,0,223,1092,65,129,4954,2,276,4095,101,127,37,2973,97,2,2395,207,34,755,100,2,0,45,938,0,0,0,59,6614,2626,317,0,236,6164,0,0,11419,0,2403,31,0,6,32,0,1673,0,23,0,70,47,1553,20,7,0,0,0,415,1308,13772,4,11,85,1305,1010,0,250,3,0,0,130036,45,403,25,5,0,0,0,380,0,0,0,0,108,3,328,0,0,0,130,66,8,3,201,231,8,0,1560,0,0,114,35,0,247,1135,346,1587,347,56,11,0,8,5,837,3,22,481,785,101,0,57,577,0,2,47,0,503,28,10,2163,99,640,0,0,2,165,3,39,1212,12,83,9,0,0,0,124,506,657,17,18,0,0,5,0,51,0,35,523,36,0,21,0,140,4017,0,484,0,0,5,26,6,0,0,0,0,0,0,7,483,83,0,0,0,0,33,0,54,8,71,43,49,0,228,0,0,211,13,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Burkina Faso,0,29,199,0,659,269,2,477,0,0,55,156,163,5,69,19,373,0,13,0,0,123,243,3,3616,276,0,66,220,8,1079,0,361,0,0,197,0,14,48,0,125,0,0,0,0,0,0,455,3091,33,93,0,9,273,0,0,3747,0,5,4,0,58,0,0,0,1492,130,0,3,0,722,0,0,0,0,0,0,57,59,0,100,0,504,35,0,0,0,0,0,60,2872,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,11,0,0,9,0,6,0,2,0,0,0,0,0,8,47,171,0,30,156,0,0,0,12,0,417,2847,21,0,5,0,15,8,0,19,0,0,29,0,19,107,0,10,0,0,0,4,0,2155,14,6,0,0,0,0,0,0,16,10,31,1004,0,0,0,0,0,0,0,0,234,0,0,3,0,45,0,11,0,0,0,0,0,0,0,0,0,0,0,10,46,0,0,0,0,0,0,0,28,0,1364,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,652,2269,6,108,6316,632,89637,6,0,9042,477,9847,12,632,2228,1937,0,273,0,5,142,66044,83,5,30,3,793,139162,911,93,77,12286,569,336,12220,93,1748,12,0,19,0,231,6745,259,124,0,304,35876,7582,463,0,12348,964,0,4,127938,0,218,7,0,37,9,0,0,39,16,0,148,6810,2725,94,46,71,0,0,21,14810,140,117,59,189,27402,16411,0,376,0,1,0,300,10,84604,3,25,122,0,37,98,16,22,0,0,137,3,3881,0,0,0,527,128,68,80,3,15,16,7,15,0,3,287,103,0,1063,27358,1001,0,4704,12,78,391,64,2,0,29,41,9286,0,591,0,46,1236,0,0,65,0,3518,30,9,6,48,6140,679,0,0,855,3,35,6261,3,91,2101,0,0,0,273,473,1232,176,3,0,22,0,0,1055,0,283,443,206,0,215,0,8,93,3,2041,0,0,317,0,58,0,0,0,0,13,0,2594,398,314,39,0,0,0,12,0,325,0,5,163,387,0,1438,0,0,1039,0,0,0,50,0,20,0,0,14,0,0,0,59,0,0
Eritrea,0,119,186,0,0,0,0,758,0,0,37,249,1298,0,20,10,123,0,45,0,0,0,12,12,16,5843,0,307,377,0,3,0,61,3,0,227,0,36,924,48,2,0,0,71,0,0,0,13,4,417,48,0,2,106,0,0,573,0,24,0,0,0,28,0,0,0,21,0,5,0,109,0,0,0,0,0,0,32,96,0,0,0,11,8,0,25,0,0,0,133,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,4,0,0,34,0,0,0,0,0,0,8,13,5,15,20,0,21,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,0,11,0,0,0,0,8,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,101,0,0,0,5,0,84,0,0,0,0,11,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,2,0,67,79,6,601,0,0,0,0,3610,0,2,7689,1225,0,2,0,0,0,26,41,0,0,0,242,1604,0,0,0,13,0,0,11082,0,2,0,0,0,0,0,0,0,0,0,0,521,0,6,0,11,1151,0,0,266,0,14,0,0,0,0,0,0,0,7,51,0,37,9,1530,0,0,0,0,0,21,0,0,0,0,29,36,0,44,0,0,0,0,0,16,0,95811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,14,7,7,0,2744,4,0,82,19,0,0,0,0,12,0,11,0,0,4,0,0,1103,0,9,0,0,0,0,5,0,0,0,22,0,0,15,0,0,0,0,0,0,6,0,435,0,0,0,0,0,0,0,0,30,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,149,0,0,0,122786,604,707,4,0,94,67,31,100,3,41,33,0,77,0,517,48,570,0,4,0,0,0,2276,664,68,379,655,0,404,13,0,0,0,0,0,0,103,72,32,0,0,14,974,30,9,0,8,58,208,21,607,25,0,0,0,0,0,0,0,0,0,0,7,0,18078,0,0,142,0,0,0,279,5,76,0,0,112,102,37,8,0,37,0,0,0,41,0,0,36152,0,53,0,30,74,0,0,1188,0,47,0,0,0,565,0,249,0,0,0,0,1,0,39,65,0,0,148,0,160,0,0,0,0,272,0,0,0,0,0,0,78,0,0,0,0,61,2,0,0,3,8,0,0,0,0,0,0,0,0,7,0,33,70,0,0,0,850,0,0,0,17,0,4,0,21,60,730,6,1,0,1,14,0,0,0,0,0,0,86,11,0,0,0,0,0,0,0,0,746,0,0,0,25,0,0,83,0,0,1966,0,0,0,6,0,0,0,7,0,0,1,0,64,0,0,0,330,0,0,0,0,0,58,0,0,0
